id,flavor_text,flavor_text_jp
1,"Helps repel wild POKéMON.",""
2,"The stench helps keep wild Pokémon away.","やせいの ポケモンが よりつき にくくなる。"
3,"The stench may cause the target to flinch.","やせいの ポケモンが よりつき にくくなる。"
4,"Summons rain in battle.",""
5,"The Pokémon makes it rain if it appears in battle.","せんとうに でると あめを ふらす。"
6,"Gradually boosts SPEED.",""
7,"Its Speed stat is gradually boosted.","ちょっとずつ すばやく なっていく。"
8,"Blocks critical hits.",""
9,"The Pokémon is protected against critical hits.","あいての こうげきが きゅうしょに あたらない。"
10,"Negates 1-hit KO attacks.",""
11,"It is protected against 1-hit KO attacks.","いちげきひっさつが きかない。"
12,"It cannot be knocked out with one hit.","いちげきひっさつが きかない。"
13,"Prevents self-destruction.",""
14,"Prevents combatants from self-destructing.","だれも じばくが できなくなる。"
15,"Prevents the use of self-destructing moves.","だれも じばくが できなくなる。"
16,"Prevents paralysis.",""
17,"The Pokémon is protected from paralysis.","まひ じょうたいに ならない。"
18,"Ups evasion in a sandstorm.",""
19,"Boosts the Pokémon's evasion in a sandstorm.","すなあらしで かいひりつが あがる。"
20,"Paralyzes on contact.",""
21,"Contact with the Pokémon may cause paralysis.","さわった あいてを まひさせる ことがある。"
22,"Turns electricity into HP.",""
23,"Restores HP if hit by an Electric-type move.","でんきを うけると かいふくする。"
24,"Changes water into HP.",""
25,"Restores HP if hit by a Water-type move.","みずを うけると かいふくする。"
26,"Prevents attraction.",""
27,"Prevents it from becoming infatuated.","メロメロ じょうたいに ならない。"
28,"Negates weather effects.",""
29,"Eliminates the effects of weather.","てんきの えいきょうが なくなる。"
30,"Raises accuracy.",""
31,"The Pokémon's accuracy is boosted.","わざの めいちゅうりつが あがる。"
32,"Prevents sleep.",""
33,"Prevents the Pokémon from falling asleep.","ねむりじょうたいに ならない。"
34,"Changes type to foe's move.",""
35,"Changes the Pokémon's type to the foe's move.","うけた わざの タイプに へんかする。"
36,"Prevents poisoning.",""
37,"Prevents the Pokémon from getting poisoned.","どくじょうたいに ならない。"
38,"Powers up if hit by fire.",""
39,"It powers up Fire-type moves if it's hit by one.","ほのおを うけると ほのおわざが つよくなる。"
40,"Prevents added effects.",""
41,"Blocks the added effects of attacks taken.","わざの ついかこうかを うけない。"
42,"Prevents confusion.",""
43,"Prevents the Pokémon from becoming confused.","こんらん じょうたいに ならない。"
44,"Firmly anchors the body.",""
45,"Negates foes' moves that force switching out.","いれかえさせる わざが きかない。"
46,"Negates all moves that force switching out.","いれかえさせる わざが きかない。"
47,"Lowers the foe's ATTACK.",""
48,"Lowers the foe's Attack stat.","あいての こうげきを さげる。"
49,"Prevents the foe's escape.",""
50,"Prevents the foe from escaping.","あいての かげをふみ にげられなくする。"
51,"Hurts to touch.",""
52,"Inflicts damage to the foe on contact.","ふれた あいてを キズつける。"
53,"Inflicts damage to the attacker on contact.","ふれた あいてを キズつける。"
54,"“Super effective” hits.",""
55,"Only supereffective moves will hit.","こうかばつぐん しか あたらない。"
56,"Not hit by GROUND attacks.",""
57,"Gives full immunity to all Ground-type moves.","じめんタイプの わざを うけない。"
58,"Leaves spores on contact.",""
59,"Contact may paralyze, poison, or cause sleep.","ふれると どく まひ ねむり にすることがある。"
60,"Contact may poison or cause paralysis or sleep.","ふれると どく まひ ねむり にすることがある。"
61,"Passes on status problems.",""
62,"Passes a burn, poison, or paralysis to the foe.","どく まひ やけどを あいてに うつす。"
63,"Prevents ability reduction.",""
64,"Prevents its stats from being lowered.","あいてに のうりょくを さげられない。"
65,"Prevents other Pokémon from lowering its stats.","あいてに のうりょくを さげられない。"
66,"Heals upon switching out.",""
67,"All status problems heal when it switches out.","じょうたい いじょうが ひっこむと なおる。"
68,"Draws electrical moves.",""
69,"The Pokémon draws in all Electric-type moves.","でんきタイプの わざを すべて うける。"
70,"Draws in all Electric-type moves to up Sp. Attack.","でんきタイプの わざを すべて うける。"
71,"Promotes added effects.",""
72,"Boosts the likelihood of added effects appearing.","わざの ついかこうかが でやすい。"
73,"Raises SPEED in rain.",""
74,"Boosts the Pokémon's Speed in rain.","あめのとき すばやさが あがる。"
75,"Raises SPEED in sunshine.",""
76,"Boosts the Pokémon's Speed in sunshine.","はれのとき すばやさが あがる。"
77,"Encounter rate increases.",""
78,"Raises the likelihood of meeting wild Pokémon.","やせいの ポケモンに そうぐう しやすくなる。"
79,"Copies special ability.",""
80,"The Pokémon copies the foe's ability.","あいてと おなじ とくせいに なる。"
81,"The Pokémon copies a foe's Ability.","あいてと おなじ とくせいに なる。"
82,"Raises ATTACK.",""
83,"Raises the Pokémon's Attack stat.","ぶつり こうげきの いりょくが あがる。"
84,"Poisons foe on contact.",""
85,"Contact with the Pokémon may poison the foe.","ふれた あいてに どくを おわせる ことがある。"
86,"Contact with the Pokémon may poison the attacker.","ふれた あいてに どくを おわせる ことがある。"
87,"Prevents flinching.",""
88,"The Pokémon is protected from flinching.","ひるまない。"
89,"Prevents freezing.",""
90,"Prevents the Pokémon from becoming frozen.","こおりじょうたいに ならない。"
91,"Prevents burns.",""
92,"Prevents the Pokémon from getting a burn.","やけどじょうたいに ならない。"
93,"Traps STEEL-type POKéMON.",""
94,"Prevents Steel-type Pokémon from escaping.","はがねタイプの ポケモンを にげられなくする。"
95,"Avoids sound-based moves.",""
96,"Gives full immunity to all sound-based moves.","おとの わざを うけない。"
97,"Slight HP recovery in rain.",""
98,"The Pokémon gradually recovers HP in rain.","あめのとき すこしずつ HPを かいふくする。"
99,"The Pokémon gradually regains HP in rain.","あめのとき すこしずつ HPを かいふくする。"
100,"Summons a sandstorm.",""
101,"The Pokémon summons a sandstorm in battle.","せんとうで すなあらしを おこす。"
102,"Raises foe's PP usage.",""
103,"The Pokémon raises the foe's PP usage.","あいての つかう わざの PPを おおく へらす。"
104,"Heat-and-cold protection.",""
105,"Ups resistance to Fire-​ and Ice-type moves.","ほのおと こおりタイプの わざに つよい。"
106,"Ups resistance to Fire- and Ice-type moves.","ほのおと こおりタイプの わざに つよい。"
107,"Awakens quickly from sleep.",""
108,"The Pokémon awakens quickly from sleep.","おきるのが はやくなる。"
109,"Burns the foe on contact.",""
110,"Contact with the Pokémon may burn the foe.","ふれた あいてを やけど させることがある。"
111,"Contact with the Pokémon may burn the attacker.","ふれた あいてを やけど させることがある。"
112,"Makes escaping easier.",""
113,"Enables sure getaway from wild Pokémon.","やせいの ポケモンから かならず にげられる。"
114,"Enables a sure getaway from wild Pokémon.","やせいの ポケモンから かならず にげられる。"
115,"Prevents loss of accuracy.",""
116,"Prevents the Pokémon from losing accuracy.","あいてに めいちゅうりつを さげられない。"
117,"Prevents other Pokémon from lowering accuracy.","あいてに めいちゅうりつを さげられない。"
118,"Prevents ATTACK reduction.",""
119,"Prevents the Attack stat from being lowered.","あいてに こうげきを さげられない。"
120,"Prevents other Pokémon from lowering Attack stat.","あいてに こうげきを さげられない。"
121,"May pick up items.",""
122,"The Pokémon may pick up items.","どうぐを ひろってくる ことが ある。"
123,"Moves only every two turns.",""
124,"Pokémon can't attack on consecutive turns.","こうげきが れんぞくで だせない。"
125,"Trades accuracy for power.",""
126,"Boosts the Attack stat, but lowers accuracy.","こうげきは たかいが はずれやすい。"
127,"Infatuates on contact.",""
128,"Contact with the Pokémon may cause infatuation.","ふれると メロメロに することがある。"
129,"Powers up with MINUS.",""
130,"Ups Sp. Atk if another Pokémon has Minus.","マイナスが いると とくこうが あがる。"
131,"Ups Sp. Atk if another Pokémon has Plus or Minus.","マイナスが いると とくこうが あがる。"
132,"Powers up with PLUS.",""
133,"Ups Sp. Atk if another Pokémon has Plus.","プラスが いると とくこうが あがる。"
134,"Ups Sp. Atk if another Pokémon has Plus or Minus.","プラスが いると とくこうが あがる。"
135,"Changes with the weather.",""
136,"CASTFORM transforms with the weather.","てんきで ポワルンが へんかする。"
137,"Castform transforms with the weather.","てんきで ポワルンが へんかする。"
138,"Prevents item theft.",""
139,"Protects the Pokémon from item theft.","どうぐを とられない。"
140,"Heals the body by shedding.",""
141,"The Pokémon may heal its own status problems.","じょうたい いじょうを なおす ことがある。"
142,"Ups ATTACK if suffering.",""
143,"Boosts Attack if there is a status problem.","じょうたい いじょうで こうげきが あがる。"
144,"Ups DEFENSE if suffering.",""
145,"Ups Defense if there is a status problem.","じょうたい いじょうで ぼうぎょが あがる。"
146,"Draining causes injury.",""
147,"Inflicts damage on foes using any draining move.","すいとった あいての HPを へらす"
148,"Damages attackers using any draining move.","すいとった あいての HPを へらす"
149,"Ups GRASS moves in a pinch.",""
150,"Powers up Grass-type moves in a pinch.","ピンチのとき くさの いりょくが あがる。"
151,"Ups FIRE moves in a pinch.",""
152,"Powers up Fire-type moves in a pinch.","ピンチのとき ほのおの いりょくが あがる。"
153,"Ups WATER moves in a pinch.",""
154,"Powers up Water-type moves in a pinch.","ピンチのとき みずの いりょくが あがる。"
155,"Ups BUG moves in a pinch.",""
156,"Powers up Bug-type moves in a pinch.","ピンチのとき むしの いりょくが あがる。"
157,"Prevents recoil damage.",""
158,"Protects the Pokémon from recoil damage.","ぶつかっても はんどうを うけない。"
159,"Summons sunlight in battle.",""
160,"The Pokémon makes it sunny if it is in battle.","せんとうに でると にほんばれに なる"
161,"Turns the sunlight harsh if it is in battle.","せんとうに でると にほんばれに なる"
162,"Prevents fleeing.",""
163,"Prevents the foe from fleeing.","せんとうで あいてを にげられなくする。"
164,"Prevents sleep.",""
165,"Prevents the Pokémon from falling asleep.","ねむり じょうたいに ならない。"
166,"Prevents ability reduction.",""
167,"Prevents its stats from being lowered.","あいてに のうりょくを さげられない。"
168,"Prevents other Pokémon from lowering its stats.","あいてに のうりょくを さげられない。"
169,"Raises ATTACK.",""
170,"Boosts the power of physical attacks.","ぶつり こうげきの いりょくが あがる。"
171,"Raises the Pokémon's Attack stat.","ぶつり こうげきの いりょくが あがる。"
172,"Blocks critical hits.",""
173,"The Pokémon is protected against critical hits.","あいての こうげきが きゅうしょに あたらない。"
174,"Negates weather effects.",""
175,"Eliminates the effects of weather.","てんきの えいきょうが なくなる。"
176,"Raises evasion if the Pokémon is confused.","こんらん していると かいひ しやすくなる。"
177,"Raises Speed if hit by an Electric-type move.","でんきを うけると すばやさが あがる。"
178,"Raises Attack if the foe is of the same gender.","せいべつが おなじだと こうげきが あがる。"
179,"Deals more damage to a Pokémon of same gender.","せいべつが おなじだと こうげきが あがる。"
180,"Raises Speed each time the Pokémon flinches.","ひるむ たびに すばやさが あがる。"
181,"Raises evasion in a hailstorm.","てんきが あられのとき かいひりつが あがる"
182,"Encourages the early use of a held Berry.","きのみを いつもより はやく つかう。"
183,"Raises Attack upon taking a critical hit.","きゅうしょに うけると こうげきが あがる。"
184,"Maxes Attack after taking a critical hit.","きゅうしょに うけると こうげきが あがる。"
185,"Raises Speed if a held item is used.","どうぐが なくなると すばやさが あがる。"
186,"Weakens the power of Fire-type moves.","ほのお わざの いりょくを よわめる。"
187,"The Pokémon is prone to wild stat changes.","のうりょく へんかが いつもより はげしい。"
188,"Reduces HP if it is hot. Water restores HP.","あついと HPが へる。 みずで HPを かいふく。"
189,"Adjusts power according to the foe's ability.","あいての のうりょくを みて つよさを かえる。"
190,"Adjusts power according to a foe's defenses.","あいての のうりょくを みて つよさを かえる。"
191,"Boosts the power of punching moves.","パンチを つかう わざの いりょくが あがる。"
192,"Restores HP if the Pokémon is poisoned.","どくじょうたいに なると HPを かいふくする。"
193,"Powers up moves of the same type.","タイプが おなじ わざの いりょくが あがる。"
194,"Increases the frequency of multi-strike moves.","れんぞく わざを たくさん だせる。"
195,"Heals status problems if it is raining.","じょうたい いじょうが あめの とき なおる。"
196,"Boosts Sp. Atk, but lowers HP in sunshine.","はれると HPが へるが とくこうが あがる。"
197,"In sunshine, Sp. Atk is boosted but HP decreases.","はれると HPが へるが とくこうが あがる。"
198,"Boosts Speed if there is a status problem.","じょうたい いじょうで すばやさが あがる。"
199,"All the Pokémon's moves become the Normal type.","だしたわざが すべて ノーマルタイプに なる。"
200,"Powers up moves if they become critical hits.","きゅうしょに あてたとき いりょくが あがる。"
201,"The Pokémon only takes damage from attacks.","こうげき いがいでは ダメージを うけない。"
202,"Ensures both Pokémon's and foe's attacks land.","おたがいの わざが かならず あたる。"
203,"Ensures attacks by or against the Pokémon land.","おたがいの わざが かならず あたる。"
204,"The Pokémon moves after even slower foes.","あいてより すばやくても こうどうが おそくなる。"
205,"The Pokémon moves after all other Pokémon do.","あいてより すばやくても こうどうが おそくなる。"
206,"Powers up the Pokémon's weaker moves.","よわい わざの いりょくが あがる。"
207,"Prevents problems with status in sunny weather.","じょうたい いじょうに はれのとき ならない。"
208,"The Pokémon can't use any held items.","もっている どうぐを つかうことが できない。"
209,"Moves can be used regardless of abilities.","とくせいに かんけいなく あいてに わざを だせる。"
210,"Moves can be used regardless of Abilities.","とくせいに かんけいなく あいてに わざを だせる。"
211,"Heightens the critical- hit ratios of moves.","あいての きゅうしょに こうげきが あたりやすい。"
212,"Damages the foe landing the finishing hit.","ひんしの ときに ふれた  あいてに ダメージ。"
213,"Damages the attacker landing the finishing hit.","ひんしの ときに ふれた  あいてに ダメージ。"
214,"Senses the foe's dangerous moves.","あいての もつ きけんな わざを さっちする。"
215,"Senses a foe's dangerous moves.","あいての もつ きけんな わざを さっちする。"
216,"Determines what moves the foe has.","あいての もつ わざを よみとることが できる。"
217,"Determines what moves a foe has.","あいての もつ わざを よみとることが できる。"
218,"Ignores any change in ability by the foe.","あいての のうりょくの へんかを むしする。"
219,"Ignores any stat changes in the Pokémon.","あいての のうりょくの へんかを むしする。"
220,"Powers up “not very effective” moves.","こうかいまひとつ のとき わざを つよめる。"
221,"Powers up “not very effective"" moves.","こうかいまひとつ のとき わざを つよめる。"
222,"Reduces damage from supereffective attacks.","こうかばつぐん のとき いりょくを よわめる"
223,"Temporarily halves Attack and Speed.","こうげきと すばやさが しばらく はんぶんになる。"
224,"Enables moves to hit Ghost-type foes.","ゴーストタイプに わざが あたるようになる。"
225,"Enables moves to hit Ghost-type Pokémon.","ゴーストタイプに わざが あたるようになる。"
226,"The Pokémon draws in all Water-type moves.","みずタイプの わざを すべて うける。"
227,"Draws in all Water-type moves to up Sp. Attack.","みずタイプの わざを すべて うける。"
228,"The Pokémon regains HP in a hailstorm.","てんきが あられのとき HPを かいふくする。"
229,"The Pokémon gradually regains HP in a hailstorm.","てんきが あられのとき HPを かいふくする。"
230,"Reduces damage from supereffective attacks","こうかばつぐん のとき いりょくを よわめる"
231,"Reduces damage from supereffective attacks.","こうかばつぐん のとき いりょくを よわめる"
232,"The Pokémon summons a hailstorm in battle.","せんとうに でると  あられを ふらす。"
233,"The Pokémon may gather Honey from somewhere.","あまいミツを あつめて くることが ある。"
234,"The Pokémon can check the foe's held item.","あいての もちものを しることが できる。"
235,"The Pokémon can check a foe's held item.","あいての もちものを しることが できる。"
236,"Powers up moves that have recoil damage.","はんどうで ダメージを うけるわざが つよくなる。"
237,"Changes type to match the held Plate.","もっている プレートで タイプが かわる。"
238,"Powers up party Pokémon when it is sunny.","はれのとき じぶんと みかたが つよくなる。"
239,"Reduces a sleeping foe's HP.","ねむっている あいての HPを へらす。"
240,"Steals an item when hit by another Pokémon.","さわられた　あいてから　どうぐを　ぬすむ。"
241,"Removes added effects to increase move damage.","ちからが　つよくなるが　つかこうかが　なくなる。"
242,"Makes stat changes have an opposite effect.","のうりょくの　へんかが　ぎゃくてんする。"
243,"Makes the foe nervous and unable to eat Berries.","あいてを　きんちょうさせ　みのみを　たべさせない。"
244,"When its stats are lowered its Attack increases.","のうりょくが　さがると　攻撃があがる。"
245,"Lowers stats when HP becomes half or less.","HPが　はんぶんになると　のうりょくが　さがる。"
246,"May disable a move used on the Pokémon.","こうげきされると　たまに　かなしばりにする。"
247,"May heal an ally's status conditions.","みかたの　じょうたいいじょうを　たまに　なおす。"
248,"Reduces damage done to allies.","みかたの　ダメージを　へらすことが　できる。"
249,"Physical attacks lower Defense and raise Speed.","ぶつりわざで　ぼうぎょがさがり　すばやさが　あがる。"
250,"Doubles the Pokémon's weight.","じぶんの　おもさが　２ばいに　なる。"
251,"Halves the Pokémon's weight.","じぶんの　おもさが　はんぶんに　なる。"
252,"Reduces damage when HP is full.","HPが　まんタンの　ときに　ダメージが　すくなくなる。"
253,"Powers up physical attacks when poisoned.","どくのとき、　ぶつりの　いりょくが　あがる。"
254,"Powers up special attacks when burned.","やけどのとき　とくしゅの　いりょくが　あがる。"
255,"May create another Berry after one is used.","つかった　きのみを　なんかいも　つくりだす。"
256,"Anticipates an ally's attack and dodges it.","みかたの　こうげきを　よみとって　うけない。"
257,"Raises one stat and lowers another.","のうりょくが　あがったり　さがったり　する。"
258,"Protects the Pokémon from damage from weather.","てんきの　えいきょうで　ダメージを　うけない。"
259,"May poison targets when a Pokémon makes contact.","さわるだけで　あいてを　どくにすることが　ある。"
260,"Restores a little HP when withdrawn from battle.","ひっこめると　HPが　すこし　かいふくする。"
261,"Protects the Pokémon from Defense-lowering attacks.","ぼうぎょを　さげる　こうげきを　うけない。"
262,"Boosts the Pokémon's Speed in a sandstorm.","すなあらしで　すばやさが　あがる。"
263,"Makes status-changing moves more likely to miss.","へんかわざを　うけにくい　からだに　なっている。"
264,"Boosts move power when the Pokémon moves last.","いちばんさいごに　わざを　だすと　つよくなる。"
265,"Comes out disguised as the Pokémon in back.","うしろの　ポケモンに　なりきって　でてくる。"
266,"It transforms itself into the Pokémon it is facing.","めのまえの　ポケモンに　へんしんして　しまう。"
267,"Passes through the foe's barrier and strikes.","あいての　かべを　すりぬけて　こうげき。"
268,"Contact with this Pokémon spreads this Ability.","あいてに　さわられる　あいてを　ミイラに　する。"
269,"Boosts Attack after knocking out any Pokémon.","あいてを　たおすと　こうげきが　あがる。"
270,"Raises Attack when hit by a Dark-type move.","あくを　うけると　こうげきが　あがる。"
271,"Some move types scare it and boost its Speed.","びびって　すばやさが　あがる　タイプが　ある。"
272,"Reflects status-changing moves.","へんかわざを　かえすことが　できる。"
273,"Boosts Attack when hit by a Grass-type move.","くさの　わざを　うけると　こうげきが　あがる。"
274,"Gives priority to a status move.","へんかわざを　せんせいで　だすことが　できる。"
275,"Boosts certain moves' power in a sandstorm.","すなあらしで　いりょくが　あがる　わざが　ある。"
276,"Inflicts damage to the Pokémon on contact.","ふれた　あいてを　キズつける。"
277,"Changes the Pokémon's shape when HP is halved.","ピンチに　なると　すがたが　へんかする。"
278,"Boosts the accuracy of its allies and itself.","じぶんや　みかたの　めいちゅうが　あがる。"
279,"Moves can be used regardless of Abilities.","とくせいに　かんけいなく　あいてに　わざを　だせる。"
280,"Moves can be used regardless of Abilities.","とくせいに　かんけいなく　あいてに　わざを　だせる。"
